Country,Competition,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SJH,SJD,SJA,VCH,VCD,VCA,WHH,WHD,WHA
Netherlands,Eredivisie,2016-2017,N1,2016-10-23,Heerenveen,Heracles,3,1,H,1.62,4.2,4.75,,,,1.55,4.25,5.0,,,,1.5,4.1,5.5,1.65,3.8,5.0,,,,1.65,4.1,5.0,1.62,3.8,4.75
Netherlands,Eredivisie,2016-2017,N1,2016-10-23,Nijmegen,Vitesse,1,1,D,4.0,3.6,1.85,,,,3.6,3.6,1.9,,,,3.1,3.4,2.1,4.0,3.6,1.85,,,,4.1,3.6,1.9,3.8,3.5,1.85
Netherlands,Eredivisie,2016-2017,N1,2016-10-28,Twente,Roda,0,0,D,1.53,4.0,6.0,,,,1.57,3.8,5.5,,,,1.6,3.7,5.0,1.53,4.2,6.0,,,,1.53,4.4,6.0,1.53,4.2,5.0
Netherlands,Eredivisie,2016-2017,N1,2016-10-29,Ajax,Excelsior,1,0,H,1.14,8.0,15.0,,,,1.13,7.75,15.5,,,,1.12,7.0,14.0,1.14,8.5,19.0,,,,1.15,8.0,17.0,1.12,7.5,15.0
Netherlands,Eredivisie,2016-2017,N1,2016-10-29,Heracles,Sparta Rotterdam,2,2,D,2.05,3.4,3.5,,,,2.15,3.3,3.2,,,,2.0,3.4,3.3,2.05,3.5,3.3,,,,2.1,3.6,3.4,2.1,3.4,3.1
Netherlands,Eredivisie,2016-2017,N1,2016-10-29,Vitesse,PSV Eindhoven,0,2,A,4.2,3.7,1.8,,,,4.0,3.5,1.83,,,,4.3,3.5,1.75,4.0,3.8,1.8,,,,4.1,4.0,1.8,3.6,3.75,1.83
Netherlands,Eredivisie,2016-2017,N1,2016-10-29,Willem II,Groningen,2,1,H,2.1,3.5,3.3,,,,2.15,3.3,3.2,,,,2.2,3.3,3.0,2.2,3.3,3.25,,,,2.2,3.5,3.2,2.05,3.4,3.25
Netherlands,Eredivisie,2016-2017,N1,2016-10-30,Den Haag,AZ Alkmaar,0,1,A,3.4,3.4,2.1,,,,3.3,3.3,2.1,,,,3.1,3.4,2.1,3.2,3.6,2.1,,,,3.3,3.6,2.15,3.1,3.4,2.1
Netherlands,Eredivisie,2016-2017,N1,2016-10-30,Feyenoord,Heerenveen,2,2,D,1.44,4.5,6.5,,,,1.48,4.1,6.25,,,,1.5,4.0,5.5,1.44,4.5,7.0,,,,1.44,4.8,6.5,1.5,4.2,5.5
Netherlands,Eredivisie,2016-2017,N1,2016-10-30,Utrecht,Nijmegen,1,1,D,1.53,3.8,6.5,,,,1.57,3.7,5.75,,,,1.5,4.0,5.5,1.53,4.0,6.0,,,,1.53,4.33,6.0,1.53,4.0,5.5
Netherlands,Eredivisie,2016-2017,N1,2016-10-30,Zwolle,Go Ahead Eagles,3,1,H,1.67,4.0,4.75,,,,1.65,3.6,5.0,,,,1.65,3.8,4.4,1.67,3.8,4.75,,,,1.67,4.1,4.8,1.7,3.6,4.4
